score	module	path	lines	budget_status	scc_size	pagerank
6.4468	dharma_swarm.providers	dharma_swarm/providers.py	3355	grandfathered	9	0.00463014
6.0034	dharma_swarm.ontology	dharma_swarm/ontology.py	2424	over_budget	10	0.00400679
5.7323	dharma_swarm.evolution	dharma_swarm/evolution.py	3680	grandfathered	7	0.00263545
4.8713	dharma_swarm.organism	dharma_swarm/organism.py	1339	over_budget	10	0.00162786
4.7778	dharma_swarm.thinkodynamic_director	dharma_swarm/thinkodynamic_director.py	5255	grandfathered	2	0.00115224
4.5744	dharma_swarm.context	dharma_swarm/context.py	1534	over_budget	9	0.00203751
4.5713	dharma_swarm.telos_gates	dharma_swarm/telos_gates.py	896	within_budget	10	0.00359381
4.5432	dharma_swarm.ontology_runtime	dharma_swarm/ontology_runtime.py	170	within_budget	10	0.00217787
4.5246	dharma_swarm.ontology_hub	dharma_swarm/ontology_hub.py	727	within_budget	10	0.00123954
4.5125	dharma_swarm.lineage	dharma_swarm/lineage.py	523	within_budget	10	0.00063086
4.5104	dharma_swarm.dharma_attractor	dharma_swarm/dharma_attractor.py	484	within_budget	10	0.00052314
4.5095	dharma_swarm.telos_receipts	dharma_swarm/telos_receipts.py	122	within_budget	10	0.00048054
4.5086	dharma_swarm.telos_formal	dharma_swarm/telos_formal.py	443	within_budget	10	0.00043410
4.5076	dharma_swarm.telic_seam	dharma_swarm/telic_seam.py	821	within_budget	10	0.00038194
4.1207	dharma_swarm	dharma_swarm/__init__.py	43	within_budget	9	0.00608569
4.0652	dharma_swarm.memory_kernel	dharma_swarm/memory_kernel/__init__.py	233	within_budget	9	0.00329050
4.0620	dharma_swarm.runtime_provider	dharma_swarm/runtime_provider.py	981	within_budget	9	0.00312735
4.0304	dharma_swarm.provider_policy	dharma_swarm/provider_policy.py	681	within_budget	9	0.00153413
4.0213	dharma_swarm.memory_retrieval	dharma_swarm/memory_retrieval.py	373	within_budget	9	0.00107313
4.0185	dharma_swarm.memory_kernel.context_eval	dharma_swarm/memory_kernel/context_eval.py	447	within_budget	9	0.00093487
4.0128	dharma_swarm.router_v1	dharma_swarm/router_v1.py	506	within_budget	9	0.00064690
4.0123	dharma_swarm.moonshot_provider	dharma_swarm/moonshot_provider.py	42	within_budget	9	0.00061811
4.0096	dharma_swarm.memory_kernel.context_parity	dharma_swarm/memory_kernel/context_parity.py	388	within_budget	9	0.00048198
4.0087	dharma_swarm.memory_kernel.facade	dharma_swarm/memory_kernel/facade.py	445	within_budget	9	0.00043651
4.0085	dharma_swarm.memory_kernel.context_compiler_shadow	dharma_swarm/memory_kernel/context_compiler_shadow.py	727	within_budget	9	0.00043053
4.0083	dharma_swarm.swarm_router	dharma_swarm/swarm_router.py	395	within_budget	9	0.00041715
4.0081	dharma_swarm.smart_router	dharma_swarm/smart_router.py	626	within_budget	9	0.00041095
4.0078	dharma_swarm.provider_transport	dharma_swarm/provider_transport.py	318	within_budget	9	0.00039371
4.0077	dharma_swarm.memory_kernel.context_eval_cases	dharma_swarm/memory_kernel/context_eval_cases.py	368	within_budget	9	0.00039021
4.0077	dharma_swarm.memory_kernel.context_eval_render	dharma_swarm/memory_kernel/context_eval_render.py	71	within_budget	9	0.00039021
3.9224	dharma_swarm.runtime_state	dharma_swarm/runtime_state.py	4738	over_budget	1	0.00929868
3.5189	dharma_swarm.telos_substrate	dharma_swarm/telos_substrate.py	4512	grandfathered	1	0.00034871
3.1008	dharma_swarm.dse_integration	dharma_swarm/dse_integration.py	1094	over_budget	7	0.00034215
3.0103	dharma_swarm.meta_evolution	dharma_swarm/meta_evolution.py	724	within_budget	7	0.00051899
3.0092	dharma_swarm.jikoku_fitness	dharma_swarm/jikoku_fitness.py	262	within_budget	7	0.00046615
3.0090	dharma_swarm.landscape	dharma_swarm/landscape.py	431	within_budget	7	0.00045280
3.0086	dharma_swarm.info_geometry	dharma_swarm/info_geometry.py	665	within_budget	7	0.00043415
3.0048	dharma_swarm.sealed_packet_apply	dharma_swarm/sealed_packet_apply.py	498	within_budget	7	0.00024295
2.8957	api.routers.chat	api/routers/chat.py	1387	over_budget	6	0.00043653
2.7352	dharma_swarm.orchestrator	dharma_swarm/orchestrator.py	3215	grandfathered	2	0.00101749
2.5778	dharma_swarm.agent_runner	dharma_swarm/agent_runner.py	3560	grandfathered	1	0.00090011
2.5137	api.main	api/main.py	625	within_budget	6	0.00069170
2.5054	api.routers.commands	api/routers/commands.py	152	within_budget	6	0.00027466
2.5050	api.routers.agents	api/routers/agents.py	648	within_budget	6	0.00025048
2.5049	api.chat_tools	api/chat_tools.py	773	within_budget	6	0.00024605
2.5038	api.routers.health	api/routers/health.py	147	within_budget	6	0.00019095
2.3226	dharma_swarm.swarm	dharma_swarm/swarm.py	3289	grandfathered	1	0.00169495
1.9674	dharma_swarm.operator_core.living_agent_kernel	dharma_swarm/operator_core/living_agent_kernel.py	2921	grandfathered	1	0.00234031
1.8584	dharma_swarm.guardian_crew	dharma_swarm/guardian_crew.py	1345	over_budget	4	0.00067602
1.6558	dharma_swarm.terminal_bridge	dharma_swarm/terminal_bridge.py	2652	grandfathered	1	0.00019366
